TeamName,Icon,Sport,Email
Lions,🦁,Football,lions@example.com
Pandas,🐼,Korfball,pandas@xyz.com

wolf,🐯,Football,wolf@gmail.com
w,🐯,Korfball,sd@gmail.com
wolf,🦁,Football,wolf@gmail.com
wolf,🐺,Volleyball,wolf@gmail.com
rabit,🐯,Football,rabi@gmail.com
ws,🐯,Volleyball,ws@gmail.com
dedw,🐯,Football,dew@gmail.com
wolf,🐺,Football,kiarash.delavar@gmail.com
alpha,🦅,Volleyball,al@gmail.com
sxsa,🦁,Football,asx@gmail.com
kia,🦁,Volleyball,kia@gmail.com
csdfvv,🐯,Volleyball,dvsd@gmail.com
saxion,🦁,Football,kia@gmail.com
e3,🦁,Volleyball,ew@gmail.com
saxion,🐯,Volleyball,saxion@gmail.com
23,🐯,Volleyball,e3e@gmail.com
3e2,🐯,Volleyball,3e2@gmail.com
fd,🐉,Football,23@gmail.com
cs,🦁,Football,ad@gmail.com
323,🐯,Volleyball,342@gmail.com
ed,🐯,Football,fe@gmail.com
wol,🐯,Korfball,dw@gmail.com
we,🦁,Football,we@gmail.com
barca,🐯,Football,bar@gmail.com
def,🦁,Football,fe@gmail.com
kl,🦅,Volleyball,kl@gmail.com
ka,🐯,Volleyball,ka@gmail.com
ka,🐯,Football,ka@gmail.com
ka,🦁,Volleyball,ka@gmail.com
cx,🐯,Volleyball,cs@gmail.com
ed,🦁,Football,de@gmail.com
dde,🦁,Football,er@gmail.com
arsenal,🐯,Football,ars@gmail.com
liverpool,🐯,Football,liv@gmail.com
vfv,🐯,Football,vfvd@gmail.com
mancity,🐯,Football,man@gmail.com
re,🐯,Football,re@gmail.com
man city,🐯,Football,man@gmail.com
Manchester United,🦁,Football,manch@gmail.com
Everton,🐉,Football,eve@gmail.com
New Castle,🐼,Football,new@gmail.com
bristol,🐉,Volleyball,br@gmail.com
